date,renderedContent,user
2023-02-11 06:07:29+00:00,"@_AmeliaOBrien @flipoz @SaraKAhmed @kiwibronny @Ms_Baya @Little_Mamu @BQDressler @stefaniadiana12 @votefortiff One for the Murphys (foster care, child abuse) Fish in a Tree (dyslexia) out of my mind (cerebral palsy) Stella by starlight (segregation) front desk series (modern immigration), new from here (immigration, covid), the war that saved my life (abuse, club foot)",https://twitter.com/traintheteacher
2022-12-10 05:56:38+00:00,@nicolasnzl @Kitcatclaws Yep this - what keeps me up at night is worrying that the person in my life who had the bad vaccine reaction actually gets covid.,https://twitter.com/traintheteacher
2022-11-23 05:43:46+00:00,@juliefairey The dialogue around long covid reminds me of my battle of hypermesis - that it wasn’t that bad (it was bad enough to be on iv fluids) and that others coped with pregnancy sickness and I just needed to solider on (I was effectively put on bed rest at 25 weeks).,https://twitter.com/traintheteacher
2022-07-12 20:46:57+00:00,"@gingereejit @agujitayuppi @annehelen Shingles is the worst - And what people might not often realise is contagious.

My school in Singapore (pre Covid) would not let me in for 2 weeks. 

And it was on my face which meant I had 8 years asking what happened.",https://twitter.com/traintheteacher
2022-07-11 09:16:41+00:00,"@mincandescence @MegdeRonde @AlexaCook_ @charlottecooknz I’m due in 3 weeks and I’m going to be limiting visitors - RAT tested and Covid boosted.  I’m happy to provide tests.

Also pondering asking about dtap and mmr vaccines as well with a likely outbreak. 

Gah!",https://twitter.com/traintheteacher
2022-06-27 08:27:14+00:00,"@DrJinRussell Also for teachers.

Last time  got influenza (jan 2020 so right as Covid was kicking off) was from a kid who came to school,",https://twitter.com/traintheteacher
2022-06-13 09:55:16+00:00,@JGreenbrookHeld To be fair there are a lot of people in New Zealand getting Covid,https://twitter.com/traintheteacher
2022-06-02 02:13:42+00:00,"@WicMar @MorganGodfery In my part of Europe until March it was compulsory masking in schools. 

After that, my students volunteered to keep masked after explained the risks of covid for bubs and myself until mid april when I had to fly home. When a cluster in my year group emerged my class had no cases",https://twitter.com/traintheteacher
2022-06-01 23:48:43+00:00,"@MorganGodfery I teach overseas and am back for 6 months to have a baby. 

I thought about doing paperwork to do relief teaching but at 7 months pregnant didn’t want to risk being in New Zealand schools due to lack of Covid protection.",https://twitter.com/traintheteacher
2022-06-01 22:54:01+00:00,"@AngelaCuming @publicaddress After two years of teaching while masking (I teach overseas) I can say that kids are a lot more understanding. 

Masks went voluntary in my part of Europe but my class continued to mask after I explained the extra risks of covid to myself and bubs as I was pregnant.",https://twitter.com/traintheteacher
2022-05-25 11:16:58+00:00,@Shaza33 At the beginning of the school year I was worried about how much disruption covid would have on the class at the end of the school year I see opportunities for growth and creativity for students and I #pypchat,https://twitter.com/traintheteacher
2022-05-23 10:45:49+00:00,@Dianne_Khan @JackyNinjakitty I’m back in Aotearoa on maternity leave and have another 10 weeks until due date. I thought about picking up some relieving but the lack of Covid precautions made me not bother.,https://twitter.com/traintheteacher
2022-05-11 22:11:34+00:00,"@melleytaylor Oh yah you! 

I did the inquiry part but was gutted to miss the staging due a combo of Covid delay/maternity leave.",https://twitter.com/traintheteacher
2022-04-18 08:00:44+00:00,"Negative Covid test, traveller declaration submitted, 1200 days since I last saw my whanau…

I’m Aotearoa bound. https://t.co/7YiSNC1BJ6",https://twitter.com/traintheteacher
2022-04-17 18:21:16+00:00,Waiting on my pre-departure to New Zealand covid test like: https://t.co/Rq7Q3AN4bH,https://twitter.com/traintheteacher
2022-04-13 06:24:17+00:00,"@steve10233812 @SerenaTNZ @SiouxsieW I teach overseas.

Masks have been voluntary where I have taught for six weeks. 

My students have continued to wear masks because I explained Covid presents risks for pregnant women and their babies.

At 10 they show more compassion than many adults posting on twitter.",https://twitter.com/traintheteacher
2022-03-14 18:52:52+00:00,"@ellenstrickland @DrJinRussell Masks become voluntary for Romania schools. 

I explained on Friday that I felt really vulnerable as a pregnant person to Covid and it has high risks for me and bubs.

All but one of my kids wore a mask today and the other kids quickly encouraged the non-mask wearer.

Blubbering.",https://twitter.com/traintheteacher
2022-03-12 20:28:52+00:00,"@tyrellcorp_ops @emmawehipeihana A quick google search would tell you Eastern Europe has had huge Covid deaths, major stress on hospitals and continues to have very low vaccination rates in part driven by science deniers.

Thanks bye.",https://twitter.com/traintheteacher
2022-03-12 10:10:37+00:00,"@tyrellcorp_ops @emmawehipeihana I currently live in Eastern Europe - there have been huge costs to the government covid strategy pursued here both in terms of human life and economic costs.

500 people dying a day at the height of delta, longer shut downs of schools and businesses.",https://twitter.com/traintheteacher
2022-03-12 06:16:46+00:00,@emmawehipeihana Aotearoa is lucky that most people don’t know someone who died of Covid.,https://twitter.com/traintheteacher
2022-02-23 12:05:20+00:00,"@Record_Factory Last week I managed 4 covid tests in seven days - 2 for school (rapid at home and rapid at clinic) and 2 for visiting Israel (One rapid, PCR). Longest I waited was for my PCR on entry to Israel which was 8 hours. On the Sabbath.",https://twitter.com/traintheteacher
2022-02-21 21:06:58+00:00,@lancewiggs @gnat I arrived in Israel this past weekend. Needed to supply my vaccine card and address for isolation. within minutes I had my covid qr and paperwork for entry. I rapid tested 24 hours before boarding and then on arrival at airport with PCR. Those results were released with 9 hours,https://twitter.com/traintheteacher
2022-02-17 06:49:12+00:00,@BusinessGamesAI @DrJinRussell @ellenstrickland I’ve been dealing with covid in Europe so a very different beast. We’ve had rolling stoppages but it does mean schools need to avoid indoor mixing of kids. We don’t let the kids leave their bags in corridors to avoid this risk.,https://twitter.com/traintheteacher
2022-02-17 03:54:11+00:00,"@DrJinRussell @ellenstrickland @BusinessGamesAI At the moment Covid protocols are -at home test mid week, clinic test on Sunday, class shut for five days for a case and retest to come back, air filters and I keep my windows all day. Surgical/kn 95 masks are on all day except when eating. Regular hand sanitising.",https://twitter.com/traintheteacher
2022-02-14 07:04:30+00:00,"@farmgeek Sounds about right.

In my class of 16 in Romania I currently have 2 out with Covid.",https://twitter.com/traintheteacher
2022-02-07 21:22:56+00:00,"@miss_jodyo @amylmcdonald My students ended up getting Covid tested before me (I managed to get through to November 21) and were giving me tips.

Now on twice a week tests 😬",https://twitter.com/traintheteacher
2022-02-06 18:35:39+00:00,"@Aaannne @soundofsugar Oh gosh I am sorry to hear that.

Covid where I am in Europe is out of control.

New Zealand has been spared the worst of the pandemic I’ve seen it move in classes so quickly. And that’s with masks, air filters and twice weekly testing.",https://twitter.com/traintheteacher
2022-01-24 14:26:18+00:00,"My last “normal” was two years ago - Chinese New Year celebrations in Singapore. 

Covid had made the news and we would start enacting restrictions not long after these photos were taken. https://t.co/EJdeVCaemw",https://twitter.com/traintheteacher
2022-01-16 11:52:28+00:00,@ellenstrickland @shaunhawthorne Been teaching with covid in Romania which is had quite significant rates of transmission here.,https://twitter.com/traintheteacher
