date	renderedContent	user
2021-07-23 15:24:15+00:00	"With a focus on equity, the new District of Columbia COVID-19 Pandemic Health and Healthcare Recovery Report addresses lessons learned and opportunities to improve the District’s health ecosystem.

Learn more: dchealth.dc.gov/page/covid-19-… https://t.co/P1TjEQ06yi"	https://twitter.com/MayorBowser
2021-06-19 12:06:45+00:00	"There’s still time to join us for our Juneteenth COVID-19 Community Corps Day of Action! Get ready to knock on doors and help residents make a plant to get vaccinated. Together, we will crush this virus.

🗓️TODAY
🕘9 &amp; 11 am  
📲RSVP: bit.ly/dayofactiondc

#DCHOPE https://t.co/0TOnqem52A"	https://twitter.com/MayorBowser
2021-06-16 13:09:41+00:00	"Looking for an opportunity to give back? Help us get DC residents vaccinated by knocking on doors during our third DC COVID-19 Community Corps Day of Action:

🗓️June 19, 2021
⏰9 am, 11 am
📲bit.ly/dayofactiondc

#DCHOPE, #TakeTheShotDC https://t.co/6yfZcMEXM3"	https://twitter.com/MayorBowser
2021-05-22 16:33:51+00:00	A big thank you to our coordinating team behind our two COVID-19 Community Corps Days Of Action. They’ve mobilized and organized thousands of volunteers throughout every ward of the District. 👏🏽👏🏽👏🏽 https://t.co/Xq4p24QcBN	https://twitter.com/MayorBowser
2021-05-18 16:38:07+00:00	"Get a free beer this Saturday at the @930Club when you get your COVID-19 vaccine! We'll be there with @dcmonc from 2-6 pm 🍻 

#DCHOPE, #TakeTheShotDC https://t.co/mCgopKJLCr"	https://twitter.com/MayorBowser
2021-05-13 13:27:23+00:00	"Looking for an opportunity to volunteer? Help us get DC residents vaccinated by knocking on doors in the second DC COVID-19 Community Corps Day of Action:

🗓️ May 22, 2021
🕘 9 am, 11 am
🤳 RSVP: bit.ly/dayofactiondc

#DCHOPE, #TakeTheShotDC https://t.co/wXzC3C67LY"	https://twitter.com/MayorBowser
2021-05-03 12:19:29+00:00	"FREE COVID-19 vaccines for our DC hospitality workers!

📅 Today, May 3, 2021
⏰ 10am-6pm
📍Hook Hall, 3400 Georgia Ave NW https://t.co/Bur7GBM3jU"	https://twitter.com/MayorBowser
2021-04-21 13:18:21+00:00	"Tell a friend: Free walk-up, COVID-19 vaccines for Ward 7 and 8 residents! Today and tomorrow from 9 am to 6 pm at Bald Eagle Rec Center.

#DCHOPE https://t.co/55Ma1O3v0m"	https://twitter.com/MayorBowser
2020-10-20 12:24:38+00:00	"DC, we need you to opt in to DC CAN, the new easy-to-use &amp; secure COVID-19 exposure notification system.

iPhone users, opt in: Settings &gt; Exposure Notifications &gt; United States &gt; District of Columbia
 
Android users, opt in: download the DC CAN app in the Google Play Store"	https://twitter.com/MayorBowser
2020-08-03 19:30:39+00:00	"Due to the incoming tropical storm, the following are closed tomorrow, Tuesday, August 4:

-All meal distribution sites

-All COVID-19 testing sites, including fire stations

-All grocery distribution sites"	https://twitter.com/MayorBowser
2020-07-20 12:08:40+00:00	Due to dangerously hot temperatures, on Monday, July 20, the District’s public COVID-19 testing sites, including the downtown and Anacostia sites and firehouse locations, will be closed. Residents are encouraged to call their health care providers if they are in need of a test.	https://twitter.com/MayorBowser
2020-07-18 12:44:01+00:00	Free coronavirus (COVID-19) testing is available near you. ⬇️ https://t.co/01FTgUc3Ae	https://twitter.com/MayorBowser
2020-07-14 12:30:55+00:00	Today’s free, coronavirus (COVID-19) testing sites ⬇️ https://t.co/7Pt6UkTxEK	https://twitter.com/MayorBowser
2020-06-25 13:28:25+00:00	Today’s free, COVID-19 testing sites include a site at the Southwest Waterfront. There are multiple locations that you can walk up to ⬇️ https://t.co/YeKHQGrX54	https://twitter.com/MayorBowser
2020-06-23 12:13:05+00:00	Thinking about getting tested for COVID-19? Free, walk-up sites are available across the District ⬇️ https://t.co/RIOnCH35lR	https://twitter.com/MayorBowser
2020-03-11 23:13:36+00:00	As of 7:00 p.m. on Wednesday, March 11, the District’s Coronavirus (COVID-19) data includes six new positive cases, bringing the District’s overall positive case total to 10 individuals. https://t.co/hZI0QqF9uu	https://twitter.com/MayorBowser
2020-03-11 17:22:07+00:00	"Join me today at 4 PM as I provide an update on the District’s response to the coronavirus (COVID-19).

You can watch the briefing via:
1⃣Twitter (@MayorBowser)
2⃣Facebook (facebook.com/MayorMurielBow…)
3⃣Or for a stream with captions, visit bit.ly/mmblive https://t.co/L504aCBWCO"	https://twitter.com/MayorBowser
